"filename", "language", "JSON", "Markdown", "JavaScript", "TypeScript", "GraphQL", "JSON with Comments", "YAML", "comment", "blank", "total"
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\cards\Card.js", "JavaScript", 0, 0, 63, 0, 0, 0, 0, 0, 8, 71
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\dashboard\CourseDescriptionBox.js", "JavaScript", 0, 0, 61, 0, 0, 0, 0, 0, 9, 70
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\dashboard\CourseList.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 7, 40
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\dashboard\InfoBox.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 5, 56
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\dashboard\TestDescriptionBox.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 10, 51
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\dashboard\VideoDescriptionBox.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 8, 40
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\icons\PauseBtn.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\icons\PlayBtn.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\login\LoginBox.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 3, 42
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\login\LoginData.js", "JavaScript", 0, 0, 232, 0, 0, 0, 0, 0, 20, 252
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\navigation\NavLink.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\navigation\NavMenuLink.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\navigation\Navbar.js", "JavaScript", 0, 0, 68, 0, 0, 0, 0, 0, 7, 75
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\navigation\SideNavBox.js", "JavaScript", 0, 0, 77, 0, 0, 0, 0, 1, 10, 88
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\navigation\SideNavContainer.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 11, 11, 65
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\navigation\SignOutButton.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 12, 69
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\navigation\UserMenuDropdown.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 7, 5, 62
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\placeholders\UnderConstruction.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 5, 43
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\structure\ContentSegment.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 0, 7, 50
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\structure\Footer.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\videos\VideoCard.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 3, 37
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\videos\VideoCardList.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\videos\VideoDashboard.js", "JavaScript", 0, 0, 74, 0, 0, 0, 0, 3, 17, 94
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\videos\VideoModal.js", "JavaScript", 0, 0, 70, 0, 0, 0, 0, 0, 6, 76
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\videos\VideoPlayer.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\videos\VideoScroller.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 0, 11, 91
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\videos\VideosListSectionAccordion.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 4, 41
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\context\AdminContext.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\context\AudioPlayerContext.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\context\CourseContext.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 6, 38
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\context\DataContext.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\context\SessionContext.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 8, 41
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\context\VideoContext.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 6, 36
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\data\coursedata.js", "JavaScript", 0, 0, 190, 0, 0, 0, 0, 0, 1, 191
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\data\testdata.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\data\tests\eiken\courselist.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\data\tests\eiken\ek2\coursedata.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 0, 2, 45
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\data\tests\eiken\ek2\videodata.js", "JavaScript", 0, 0, 191, 0, 0, 0, 0, 0, 3, 194
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\data\tests\eiken\ek3\coursedata.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 0, 2, 46
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\data\tests\eiken\ek3\videodata.js", "JavaScript", 0, 0, 248, 0, 0, 0, 0, 0, 2, 250
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\data\tests\eiken\ek4\coursedata.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 2, 41
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\data\tests\eiken\ek4\videodata.js", "JavaScript", 0, 0, 169, 0, 0, 0, 0, 0, 2, 171
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\data\tests\eiken\ek5\coursedata.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 2, 41
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\data\tests\eiken\ek5\videodata.js", "JavaScript", 0, 0, 169, 0, 0, 0, 0, 0, 2, 171
